"","Address","Postal_code","Description","Price","Square_feet","Beds","Baths","Date_Added","Year_built","Neighbourhood","Type_of_home","Area_of_city","Lot_info","Id_code","Img_uri"
"2","7229 SIERRA MORENA BOULEVARD SW, Calgary, Alb","T3H3L8","This outstanding 2nd floor home features a bright open floorpan with plenty of windows for lots of natural sunlight. Features include a sunny South balcony (with a mountain view) that backs to a quiet & private green space. The large master bedroom features a 4pce ensuite and a walk in closet, plus there's a large den off the living room. The kitchen area is very spacious, bright, and sunny. Note the full size in­suite washer/dryer and air conditioning. There is heated underground parking and a large storage locker. The building is clean, secure, and offers a desirable lifestyle that's great for entertaining. Host your family gathering in the large party room (with kitchen and balcony). Expecting out of town guests? guest suites available for rent (only $30 per night). Keep fit and relax in the exercise room w/hot tub, read in the library, complete a puzzle in the craft room, challenge your grand kids to a game of pool or shuffleboard, or build a craft in the wood shop. There's even a car wash!! The Sierras is a very active +50 community. The community is vibrant and there is always something going on.","324900","1021","1","2","22 February 2018","1996","SignalHill","Apartment","Southwest Calgary",NA,"l_53956081","https://mediavault.point2.com/p2h/listing/33b2/9a69/e9ec/766716b622b46c3206c5/wm_large.jpg"
"3","8 BRIDLECREST DRIVE SW, Calgary, Alb","T2Y0H7","Don't look any further! One of the largest floor plans in the complex! South facing, inside the complex with an excellent south view! Away from all the road noise and traffic. Very quite and lots of sunshine. Painted into the soft white colors. Wonderful, spacious main living/dining area with excellent division of space. Terrific kitchen, efficient layout and raised breakfast bar. Underground parking. In suite LAUNDRY (washer & dryer). Close to shopping, schools, playgrounds and transit! Don't look any further! THIS IS THE ONE!","219900","844","2","1","7 February 2018","2008","Bridlewood","Apartment","Southwest Calgary",NA,"l_53376406","https://mediavault.point2.com/p2h/listing/f7e6/3cc5/d451/6a4468e0a2636f8bfa16/wm_large.jpg"
"4","5200 44 Avenue NE, Calgary, Alb","T1Y7L4","Investors alert! Totally hands free! Cozy bachelor suite overlooking quiet residential area. Whitehorn Lodge assisted living facility with onsite management, 24 hour on staff nursing, 3 meals per day in the elegant dining room & light housekeeping. Full time activity coordinators organizing exercise & crafting classes, movies in the theatre room & parties in the pub. Onsite bus available. Warm and caring staff provide a pleasant friendly living environment. The market rents are approximately $2,630.00. Fabulous ""lifestyle"" opportunity.","159900","332","1","1","2 March 2018","2002","Whitehorn","Apartment","Northeast Calgary",NA,"l_54278765","https://mediavault.point2.com/p2h/listing/73ba/fd26/dc49/3696808ed7421a68d66e/wm_large.jpg"
"5","156 Masters Rise SE, Calgary, Alb","T3M2L5","Fabulous 2 story essentially ""brand new"" home in the popular lake community of Mahogany. You will love the family-oriented floor plan as well as the many upgrades. The kitchen has upgraded backsplash, s/s appliances including a gas stove, quartz countertops & shaker off-white cabinetry. A small office area off the kitchen is perfect for looking up recipes, homework or answering emails while the kids play in the family room. Extra windows in the dining nook make the main floor bright & sunny. Upgraded hardwood flooring adds a touch of elegance. Upstairs you will find the master & 5 piece ensuite separated from the two additional bedrooms by a good size bonus room. Sliding doors ensure you can watch your favorite movies without disturbing the kids. Basement has rough-in for bathroom & awaits your creative touch. Enjoy upgraded lighting, water softener, security system, storage shed, spacious deck as well as a discounted internet package (for 1 year). Time to enjoy all that a lake community has to offer!","574999","2171","3","2","6 March 2018","2017","Mahogany","Residential","Southeast Calgary",NA,"l_54436952","https://mediavault.point2.com/p2h/listing/15ad/61ff/530e/155c9a38b7f61f0e458c/wm_large.jpg"
"6","109 Valley Ridge Court NW, Calgary, Alb","T3B5L4","**Open House this Sunday, March 4: 2:00 p.m. - 4:00 p.m.** Beautiful Family Home on a quiet street in desirable Valley Ridge. Lovingly maintained on all 3 levels, this home features soaring ceiling at the entrance, 4 bedrooms, including master with 5-piece en-suite bath, 2 additional full baths and a half-bath on the main floor. The kitchen has an island in the centre, spacious pantry and is very bright with the large windows letting in lots of natural light. The backyard is truly vast: it's like having your own park outside your back door. There are several green spaces in the vicinity, and this place features beautiful views of the golf course. Book a showing and make this amazing property your new home. This home is priced to Sell so do not wait to view it.","549500","2218","4","4","1 March 2018","1994","ValleyRidge","Residential","Northwest Calgary",NA,"l_54238053","https://mediavault.point2.com/p2h/listing/095a/d7cf/43fa/6c18cb49b353c8df4e95/wm_large.jpg"
"7","536 Woodhill Place SW, Calgary, Alb",NA,"This is a beautiful bungalow located on a pie shaped lot in a quiet cul de sac. 1429 sq ft of living space on main, and additional 1236 in basement. 4 bedrooms in total, 3 full baths. Ensuite is a 3 piece. Walk into the huge foyer, with bamboo flooring. Living room is cozy with it's 2 way wood burning fireplace. Good size dining room, with patio doors to deck and back yard. Walk into the good size kitchen with newer SS appliances, cupboards have been updated with modern colours and finishing. Huge family room with bamboo flooring, 2 way fireplace, and lots of room for comfy furniture. Make this the favorite room in the house. 3 good size bedrooms up, 1 down. Full bathroom down with jetted tub. Huge family/ games room. Set up your big screen TV, and play pool at the same time. There is a 4th bedroom, window is not an egress. Most of the windows have been replaced. Shingles replaced in (2017). Furnace has been well maintained with new motor. Call today for private showing.","459900","1429","4","3","28 February 2018","1978","Woodlands","Residential","Southwest Calgary","0.00m x 14.89m","l_54198452","https://mediavault.point2.com/p2h/listing/f751/803e/8324/396315685d6d545f6d70/wm_large.jpg"
"8","128 WESTON MANOR SW, Calgary, Alb","T3H5N8","Welcome to the desirable neighborhood of West Springs. This original owner family home is situated on a quiet street close to playgrounds, schools, parks, COP, shops, restaurants and even downtown. This 2 storey split home has 1761 sq. ft. of open living space with bright natural light. The main floor invites you into a large foyer with designer 18"" tile floors and a warm engaging kitchen with plenty of counter and storage space, a corner pantry and a raised breakfast bar leading into the open living area, perfect for entertaining. Upstairs includes a Master Bedroom with 4 pc ensuite/walk ­in closet and 2 other bedrooms. There is also a main 4 pc bathroom. Wait until you see the gorgeous bonus room with a gas fireplace! Enjoy the large 12'x16' deck in the backyard and the many fruit trees. Enjoy your new home in West Springs!","550000","1761","3","2","1 March 2018",NA,"WestSprings","Residential","Southwest Calgary",NA,"l_54234559","https://mediavault.point2.com/p2h/listing/9fd1/9ea5/98d8/ed793674c366bd7b97e2/wm_large.jpg"
"9","304 CRANBERRY PARK SE, Calgary, Alb","T3M0S2","Welcome to Cranston Place located in the family friendly community of Cranston. This Beautifully appointed 2 bedroom/2 bathroom corner unit condo has a lovely open concept floor plan. There is air conditioning, knock down ceilings and hardwood flooring throughout the main living area. The kitchen is spacious with an island, breakfast bar, Pot Drawers, Stainless Steel appliances and a separate dining area. There is also a Walk­In Shower Ensuite & in­ suite Laundry with a Front Load Washer & Dryer. The 13' x 6' balcony faces SW, there is TITLED PARKING and an Assigned STORAGE LOCKER. This home is steps away from Cranston Market with Sobey's Grocery Store, a Bank, a Pub, Restaurants, Shopping and easy access to Deerfoot & Stoney Trail and Fish Creek Park. It is only 2 blocks away from Cranston's Community Clubhouse with a Gym, Tennis, Basketball and Skating. This is a beautiful unit in a great community, come and see it today!","286000","895","2","2","6 March 2018","2012","Cranston","Residential","Southeast Calgary",NA,"l_54439811","https://mediavault.point2.com/p2h/listing/da76/3cf6/309f/944a6a1d4cf2c9a53988/wm_large.jpg"
"10","950 Centre Ave NE, Calgary, Alb","T2E0P3","This ground level unit looks onto the professionally landscaped courtyard. The gated courtyard can only be accessed with the building FOB offering security while enjoying BBQs with friends or just hanging with your dog. Inside, cork floors are found throughout the home. The kitchen has granite counters, stainless steel appliances and maple cabinets. Just off the kitchen is the laundry room with extra storage. The master bedroom includes an en suite and walk in closet. The second bedroom also makes a great office with a 2 piece bath just across from it. This home comes with 1 titled parking stall, a storage locker, bike storage, and a car wash, all found in the underground heated parkade. The Portefino is located close to award winning restaurants, cafes and boutiques. Just south of the building is Murdoch Park and the community skating rink. There is also easy access to the bike paths and CTrain. Check the iGuide link for 360 degree views of each room. Book your appointment today!","299900","774","2","2","22 February 2018","2006","Bridgeland","Apartment","Northwest Calgary",NA,"l_53941892","https://mediavault.point2.com/p2h/listing/3ddc/5445/22bf/a3eabe1ab0f53c71ba12/wm_large.jpg"
"11","1053-10 STREET SW, Calgary, Alb","T2R1S6","VIEW, VIEW, VIEW! 21 floor! One of the LOWEST condo fees in DownTown! Fantastic West views of the Bow River Valley, Nose Hill Park and don't forget the Rocky Mountains! Sit on the balcony and enjoy the stunning views. Two Bedrooms, two bathrooms and west facing windows with unobstructed views. GRANITE COUNTERTOPS throughout, master ­bedroom was professionally decorated with wallpaper, in-­suite washer and dryer. Balcony has BBQ connection. The low Condo fees include ALL UTILITIES, heated underground parking, PROFESSIONAL fitness room / steam room, bike storage and part time security. Walk to work, the LRT and the great bars and restaurants on trendy 17th Ave. Don't forget the convenience of Midtown Market (CO­OP) right on site. Book to see it today!","349900","812","2","2","6 February 2018","2006","Beltline","Apartment","Southwest Calgary",NA,"l_53325472","https://mediavault.point2.com/p2h/listing/e1ff/4ed7/4abb/d9c83e369ca4ffa18b2c/wm_large.jpg"
