"","Address","Postal_code","Description","Price","Square_feet","Beds","Baths","Date_Added","Year_built","Neighbourhood","Type_of_home","Area_of_city","Lot_info","Id_code","Img_uri"
"2","26 Somerside Place SW, Calgary, Alb","T2Y3V3","This is an excellent opportunity listed far below assessment value. This very well located house in a cul-de-sac with a fully finished walk out basement and private backyard with detached double garage. Price much lower cause the house needs some TLC due to wear and tear by bad tenants. This house will come with a new roof installed in spring already been paid for by the owners.  The front entrance, kitchen and dining areas have ceramic tile, there is a two sided fire place, oak cabinets, and a den on the main level, and deck off the eating area. An added bonus is the fully developed walk out basement (with small kitchen) - perfect for rental income or an illegal in-law suite. The upper kitchen comes with brand new fridge and newer stove. The upper floor has master with 4- piece on suite bathroom and two more bedrooms with another 4 piece bathroom.  Close to the Somerset Water Park, shops, transit and tennis courts this home has it all.","398888","1488","5","3","15 January 2018","1999","Somerset","Residential","Southwest Calgary","403.00m x 0.00m","l_52514501","https://mediavault.point2.com/p2h/listing/1197/9ecc/6ab8/d34bca0de8347f426d06/wm_large.jpg"
"3","#16 3223 NW 83 ST NW, Calgary, Alb","T3B5M7","16x68 foot 1979 Frontier mobile home by Commodore. Freshly painted exterior and interior in 2016. The home boasts a 23x7 foot addition that has a third bedroom and small laundry room. The front of the addition functions as heated porch. Inside, the bathtub and toilet are new, the bathroom makeover is being completed. \r\rAppliances include fridge, stove, new washing machine with older gas dryer. New furnace in 2013, new H2O heater in 2016. Skirting has insulated and redone with wood. Metal shed, 10 ft x 8 ft is included. Parking is off street, 2 vehicles may sheltered under metal carport roof. Roof is metal. The owner may have up to two pets, subject to Park approval.\r\rThe pad rent is $800 currently and includes water, sewer and garbage removal. The pad is in a great location near transit and close to the entrance to the park. All of the services and facilities are a short drive away in Bowness, Calgary Olympic Park is nearby. The Park surrounded by natural walking trails and has excellent bus service. Buyer must qualify with park. Animal restrictions in effect. 16x68 foot Frontier mobile home by Commodore. Freshly painted exterior and interior in 2016. The home boasts a 23x7 foot addition that has a third bedroom and small laundry room. The front of the addition functions as heated porch.\r\rBathtub and toilet are new, bathroom makeover being completed. Fridge, stove, new washing machine with older gas dryer. New furnace in 2013, new H2O heater in 2016. Skirting insulated and redone with wood. Metal shed, 10 ft x 8 ft is included. Parking is off street, 2 vehicles may sheltered under metal carport roof. Roof is metal.\r\rOwner may have up to two pets, subject to Park approval. The pad rent is $800 currently and includes water, sewer and garbage removal.\r\rThe pad is in a great location near transit and close to the entrance to the park.\r\rAll services and facilities in Bowness, Calgary Olympic Park is nearby. The trailer park is surrounded by natural walking trails and has excellent bus service. As is where is. Unit could be rented.\r\r","63000","1088","3","1","19 January 2018","1979","Greenwood","Residential","Northwest Calgary","403.00m x 0.00m","l_52683805","https://mediavault.point2.com/p2h/listing/c73e/f3f8/afdc/c21f28641f49869071c0/wm_large.jpg"
"4","262217 RR14 NW, Calgary, Alb","T0M0E0","Perched on a small hill this 1764 sf 5 bed, 2.5 bath home has a walkout basement with floor to ceiling windows letting in the view along with the light. The house is\rrented for $2500/mo. to a good quality family. Get paid to wait while the City(s) come to you! The driveway has been re-gravelled and the house has a new stove, cooktop, fridge and built-in oven and dishwasher. \r\rThe property is located west of Balzac and north of the City of Calgary on a road that will be 14 St NW some day. Only\ra short drive to Stoney Trail, Cross Iron Mills and Airdrie, you have the best of both worlds here. 38 acres on rolling hills with a house existing and a water feature equal\rto about 7 acres. Has significant eventual subdivision potential once annexed. \r\rThe parcel could contain up to 320 serviced lots once acquired by the City of Calgary. Many possible uses alongside the residential: greenhouse, auto and RV storage, truck garden just to name a few. Tenants rights apply. 24 hours notice for all showings.\rDirections: West on 566 from Balzac to RR14. Right on RR14, property is 1500 m north","1925000","1769","5","2","19 January 2018","1996","Evanston","Residential","Northwest Calgary","403.00m x 0.00m","l_52683783","https://mediavault.point2.com/p2h/listing/d701/7139/a189/4498136a03d1c1678c2f/wm_large.jpg"
"5","8604-48 Ave NW, Calgary, Alb","T2B1Z9","Two bedrooms, one bath with excellent views to the east and south toward C.O.P. and downtown. Adult building. All windows replaced in the last two years. 7th Floor deck access and additional shared storage on the same floor. Adult building, dog friendly on board approval.\r\rAll exterior windows and cladding are new this year. Over $25,000 spent. Vacant, quick possession possible. \r\rPlenty of storage, excellent kitchen layout and finishings including a dishwasher. Covered, secure heated parking stall included.\r\rAll utilities included in condo fees except Internet and TV. Free shared laundry.\r\rRestaurants and shopping in the immediate vicinity. Steps from Bowness Park, the river and bike trails. The lagoon can be canoed in rented canoes and skating in the winter. Good transit but no C-Train. Adult building, people under 40 may visit but not reside.\r\rCall for details\rDoug Bowman\reXp Realty\r","247900","961","2","1","19 January 2018","1981","Bowness","Residential","Northwest Calgary","403.00m x 0.00m","l_52683807","https://mediavault.point2.com/p2h/listing/2057/e865/009b/15be9be9a5d276a6361b/wm_large.jpg"
"6","495 78 Ave SW, Calgary, Alb","T2V5K5","First time on the market: this 2 bedroom + den condo in the desirable Stratfrod on the Park!! Listed by its original owners, this apartment home has been well maintained and shows great. 2 spacious bedrooms with 2 full baths and den, kitchen with ample cupboard space and a living room with gas fireplace complement each other to create a perfect living space at this amazing adult-only building. Backing onto the green space and conveniently located close to LRT, shopping and other inner-city amenities this condo makes a perfect home for a first-time buyer and a great investment. The apartments in this building don't come on the market very often, so book your showing today to take advantage of this great opportunity.","326000","1248","2","2","10 January 2018","2000","Kingsland","Apartment","Southwest Calgary","403.00m x 0.00m","l_52247239","https://mediavault.point2.com/p2h/listing/d677/fb92/8258/8f94e307f33ce05aa10b/wm_large.jpg"
"7","162 Citadel Vista Close NNW, Calgary, Alb","T3G4W6","Great starter home in the heart of Citadel. This 2 storey features a main floor living room/dining room area, kitchen, laundry and a 2 piece bath. The upper level has 3 bedrooms including a master with 4 piece en-suite, good sized second and third bedrooms and a full 4 piece bathroom. Fully developed lower level includes a family room. Fully fenced and landscaped with a large double detached garage. Central location that is close to schools, shopping, transit, the LRT and the new Rocky Ridge YMCA. Easy access to Crowchild Trail and Stoney Trail with only a short LRT ride to the U of C, SAIT and downtown.","398000","1343","3","3","1 February 2018","1998","Citadel","Residential","Northwest Calgary","9.80m x 33.00m","l_53140555","https://mediavault.point2.com/p2h/listing/4ebc/e625/1734/8d30c931bb7e39ec1c9e/wm_large.jpg"
"8","35 Snowdon Crescent SW, Calgary, Alb","T2W0S1","Great curb appeal on this bright, spacious, updated & beautifully decorated 4 bedroom 2 storey home with a 24x20 ft. double front attached garage. Many upgraded features in this immaculate home including fresh paint, new carpet, high efficiency furnace, air-conditioning, water softener, shingles, windows, closet organizers, custom handrail & glass wall and backyard landscaping. The updated kitchen features rich Maple cabinetry, newer sink & taps, tile floor & newer window overlooking the expansive southwest park-like yard. Large living room with hand scraped hardwood open to the dining room with newer garden doors. Huge private patio - perfect for entertaining. The updated 2 piece powder room is conveniently located near the kitchen & back door. Upstairs features 4 good sized bedrooms, 3 with hardwood, including a king-size master with walk-in closet. The lower level includes a huge family room with cozy stone faced wood burning fireplace, a den & the laundry/mechanical area with built-in cabinets. Huge private southwest 69 x110 ft. treed lot on a quiet crescent in the heart of sought after Southwood. Close to schools, shopping, transit and the LRT. Easy access to downtown.","569900","1387","4","2","23 January 2018","1962","Southwood","Residential","Southwest Calgary","21.00m x 33.50m","l_52787668","https://mediavault.point2.com/p2h/listing/b4d0/df27/19f6/a378706ca72e063a1a5e/wm_large.jpg"
"9","47 HIDDEN MEWS NW, Calgary, Alb","T3A5S8","Welcome to Hidden Valley! Situated across from a small park, this beautiful two storey home has it all. As you enter from the front porch, you are greeted by the bright and spacious living room with its gas fire place elegantly nestled in stylish brick. Integral to the exquisite nature of this home is the open concept dining room and kitchen which boasts a countertop island and conveniently located pantry with plenty of space for all of your food storage needs. In addition to these great features, this kitchen is also equipped with all stainless steel appliances. A two piece bath is located just off the dining room near the back door which leads to the fully fenced back yard and large deck. The master bedroom and magnificently designed four piece ensuite bath are situated upstairs along with two other bedrooms and an additional four piece bath. Forget about those cold winter nights and curl up by the second fireplace located in the basement family room. Close to transit, schools and shopping. Call now! *Basement Fridge, downstairs washer, sectional sofa and blinds are included!","403900","1351","3","2","1 February 2018","1992","HiddenValley","Residential","Northwest Calgary","21.00m x 33.50m","l_53133738","https://mediavault.point2.com/p2h/listing/2a7b/415d/adbe/099a518b2eb81d5d516b/wm_large.jpg"
"10","226 COUGARTOWN CIRCLE SW, Calgary, Alb","T3H0A2","Live, love and entertain in this extensively upgraded home! Over $40,000 has been spent on interior/exterior upgrades which include walnut stained, maple, hardwood floors, baseboards, granite counter-tops, a granite kitchen sink, top-of-the-line Bosch, LG and Maytag appliances, tile, lighting, 40 oz, âSmart Strandâ carpet with 10 lb underlay, and paint plus a newer humidifier! And thatâs just on the inside! Exterior upgrades include 6 Aspen trees gorgeous grass, shrubs, perennials, interlocking brick, stone with rock on both sides of the house with slate slabs in-between and a retaining wall in the back to separate the deck from the grass. The fire pit is from BBQâs Galore and there is a Wifi-enabled , Sonos system with Poke audio for outdoor entertainment! The double detached garage is only 6 years young and the floor plan is perfect for executive couples or empty-nesters with a light and bright fully developed basement. Located close to all amenities â nothing to do but move in and enjoy! Welcome Home!","514900","926","3","2","2 February 2018","2005","CougarRidge","Residential","Southwest Calgary","21.00m x 33.50m","l_53194850","https://mediavault.point2.com/p2h/listing/97fa/80e4/aed1/743e9b0a653772f79629/wm_large.jpg"
"11","35 GLAMIS GREEN SW, Calgary, Alb","T3E6T9","Beautiful corner unit townhome! Lovingly maintained and updated. Hard wood floors, granite countertops, newer backsplash and faucet in the kitchen. Newer wood laminate flooring on lower level. This 2 bedroom shows exceptionally well! Living room is huge with a cozy fireplace and access to a large deck. Hot water tank was replaced less than a year ago! Large attached garage. Close to Westhills shopping centre. Call realtor today!","259900","466","2","1","29 January 2018","1980","Glamorgan","Townhouse","Southwest Calgary","21.00m x 33.50m","l_53021100","https://mediavault.point2.com/p2h/listing/8429/c814/e0a7/476fe31d92da53f76476/wm_large.jpg"
