"","X.1","X","Address","Postal_code","Price","Beds","Baths_num","Description","Img_uri","Square_feet","Year_built","Id_code","Style","PropertyID","YearBuilt","Baths","Status","ParkingTypeDescription","Storeys","NewConstruction","Neighbourhood","LivingArea","Basement","BasementDevelopment","CondoType","ConstructionType","EnsuiteYN","Exterior","Flooring","Foundation","FrontExposure","GarageYN","HeatingFuel","HeatingType","HOAFeeYN","LotShape","Other","Parking","PropertySubType","PropertyType","Region","RoofType","SiteInfluences","Zone","ID","TotalRooms","Fireplaces","County","Amenities","AmenitiesNearBy","BasementType","ExteriorFinish","Features","FenceType","LandscapeFeatures","Structure","TransactionType","FPFuel","AssociationFee","CoolingType","FireProtection","BasementFeatures","ViewType","ConstructionStyleSplitLevel","CondoFeeInclude","SchoolDistrict","CeilingHeight","LotArea","Appliances","FireplaceType","PoolType","WaterFrontType","ConstructionMaterial","FlooringType","FoundationType","LeasePerUnit","Sewer","EfficiencyRating","AccessType","SewerSeptic","ElementarySchool","EstimatedAnnualTaxes","MaintenanceFeeType","Access","ArchitecturalStyle","Area","ConstructionMaterials","CountyOrParish","DrivewayType","FoundationDetails","Garage","Heating","InteriorFeatures","KitchenAppliances","LotFeatures","ParkingFeatures","Possession","Roof","Utilities","LotSize","FarmType","BodyofWater","CurrentValidPercTest","District","DOCUMENTSONFILE","DRIVEWAY/PARKING","Easements","EnvironmentalAssessment","LANDFEATURES","PropertyGated","PROPERTYSIZE","Restr/ProtCovenants","Road","SEWAGEDISPOSAL","Sign","Sub-District","Survey","TitletoLand","Type","UTILITIES","WATERACCESS/VIEW","WATERFRONTAGE","WaterFrontageUnits","WATERSOURCE","Waterfront","Fixture","EquipmentType","RentalEquipmentType","Distinctivefeatures","Sewagesystem","Watersupply","Zoning","ExteriorFeatures","HeatType","CommunityFeatures","SurfaceWater","EquipIncl","FeaturesInterior","GaragesParkingDescription","ParkingSurface","WaterHeater","WaterHeaterType","WaterSoftener","RoofMaterial"
"1",1,2,"2234 28 AV SW","Richmond, Calgary, AB T2T1K7","1249900","4","4","2234 28 AV SW - 
**SHOWHOME AVAILABLE FOR VIEWING BY APPOINTMENT, PLEASE CALL LISTING AGENT FOR FULL DETAILS** Brand new, fully loaded, 2-storey detached infill home by Sagebrook Developments. Located in the heart of Richmond Park, only minutes to downtown and steps from Marda Loop, this home is sure to impress with its incredible design, luxurious features and evident quality. Boasting over 3,250 square feet of developed living space over three levels, with stunning design elements and loads of upgrades, this 4 bedroom 3.5 bathroom home has it all - quality, functionality and incredible style. Designed using only the finest in quality finishes, this home makes a grand statement from the moment you set foot in the front entry. Featuring 10ft ceilings, wide plank flooring and extensive natural light throughout, this home is designed with style and function in mind - perfect for professionals or urban families. Construction to commence Spring 2018 with planned completion for Winter 2018. (id:405)                     Virtual Tour
    ","https://images.century21.ca/Listings/MLS/114/19145235/1EB8ADA08D88927E3E2924E93D0A1E3A.Jpg?width=650&height=487&scale=both&lang=en-CA","2379",NA,"4170820","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,"2,379",NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,"C4170820","8","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Brick,Stone,Stucco","Backlane,Skylight","Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,3,"2234 28 AV SW","Richmond, Calgary, AB T2T1K7","1249900","4","4","2234 28 AV SW - 
**SHOWHOME AVAILABLE FOR VIEWING BY APPOINTMENT, PLEASE CALL LISTING AGENT FOR FULL DETAILS** Brand new, fully loaded, 2-storey detached infill home by Sagebrook Developments. Located in the heart of Richmond Park, only minutes to downtown and steps from Marda Loop, this home is sure to impress with its incredible design, luxurious features and evident quality. Boasting over 3,250 square feet of developed living space over three levels, with stunning design elements and loads of upgrades, this 4 bedroom 3.5 bathroom home has it all - quality, functionality and incredible style. Designed using only the finest in quality finishes, this home makes a grand statement from the moment you set foot in the front entry. Featuring 10ft ceilings, wide plank flooring and extensive natural light throughout, this home is designed with style and function in mind - perfect for professionals or urban families. Construction to commence Spring 2018 with planned completion for Winter 2018. (id:405)                     Virtual Tour
    ","https://images.century21.ca/Listings/MLS/114/19145235/1EB8ADA08D88927E3E2924E93D0A1E3A.Jpg?width=650&height=487&scale=both&lang=en-CA","2379",NA,"4170820","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,"2,379",NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,"C4170820","8","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Brick,Stone,Stucco","Backlane,Skylight","Fence","Landscaped","Deck","Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,4,"115 Panora RD NW","Calgary, AB T3K 0T9","485000","3","3","115 Panora RD NW - 
OPEN HOUSE SAT & SUN 11:30-1:30PM. Better than buying new! This FRESHLY PAINTED home was built in 2012, is within walking distance to parks and numerous schools, has easy access to Stoney Trail, backs onto an alley and is located is on a quiet street. Entering this home you are greeted with 9' CEILINGS leading you to the open kitchen featuring GRANITE counters, STAINLESS STEEL appliances, abundant cabinetry, and an island with bar seating. Off the kitchen is the bright living room featuring a FIREPLACE with an elegant mantel. Heading upstairs you will find a light-filled master bedroom that features a grand WALK-IN CLOSET and ENSUITE. Completing the upper floor is an inviting BONUS ROOM, 4-pce bathroom, office area, laundry room, and 2 more generous sized bedrooms. The backyard is a GARDENER'S DREAM with vegetables beds along the fence line and a LARGE DECK with built in flower planters. Look no further, this is the perfect family home!            ","https://images.century21.ca/Listings/MLS/56/C4170758/1EA3D373BC8AEA0BDB73973F4817CB3C.Jpg?width=650&height=487&scale=both&lang=en-CA","1749","2012","101304628","2Storey","101304628","2012","3(Full:23/4:01/2:1Other:0)","Active","Attached4cars","0","No","PanoramaHills","1,749","Full","Unfinished","NotaCondo","WoodFrame","1","Vinyl,Stone","Hardwood,CeramicTile,Carpet","Concrete","Northeast","1","NaturalGas","ForcedAir-1","1","Rectangular","TotalFloorAreaAGMetres-162.4873,FrontageMetres-9.1400,BedroomsAboveGrade-3,BathsTotal-2.10","DoubleGarageAttached","Detached","Detached","Calgary","AsphaltShingles","VegetableGarden,TreedLot,Schools,PublicTransportation,FruitTrees/Shrubs,Fenced,BackLane","ZoneN","C4170758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GasOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,5,"#131 11620 Elbow DR SW","Canyon Meadows, Calgary, AB T2W3L6","184900","2","1","#131 11620 Elbow DR SW - 
UPDATEDÂ & Well-maintained High-ceiling 2 bedroom + Den located in Well-managed complex (This complex was built by NU-WEST and Reserve Fund is very Healthy) This unit has a large in-suite storage room for all your extras and a large front door and windows that lets in plenty of natural light. The layout is excellent and the bedrooms are very privateThe Living room is bright, open and welcoming with sliding doors that lead to the balcony with gorgeous view outside. This Complex has newer windows, doors and balcony;Management fees including Electricity, Water, Heat & othersComplex has plenty of visitor parking with plug-in. Just mins to LRT, buses, shopping, Fish Creek & other parks, libraries, great schools, playgrounds, golf course & recreation centers etcEasy access to major highways like Deerfoot, Blackfoot, 14 St, McLeod, Anderson etc. Great place& value with desirable location! (id:405)            ","https://images.century21.ca/Listings/MLS/114/19143809/9903DF4B7E842EF90541D75D43AFE0CC.Jpg?width=650&height=487&scale=both&lang=en-CA","784",NA,"4170734","Other",NA,NA,"1(Full:13/4:01/2:0Other:0)","Active","Surface0cars","1","No",NA,"784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseboardheaters",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,"C4170734","6",NA,"Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping",NA,"Brick,Wood","Balcony",NA,"Landscaped",NA,"Forsale",NA,"$420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,6,"1310 SIENNA PARK GR SW","Signal Hill, Calgary, AB T3H3N7","172500","1","1","1310 SIENNA PARK GR SW - 
Well maintained and managed, active 50+ Adult Complex, this top floor unit with private balcony is your next step in downsizing and freedom!  Bright one bedroom has generous walk in closet, large bathroom, convenient in-suite Laundry/Storage, as well as additional storage locker. Functional kitchen with built in breakfast table, overlooks open living/dining area with balcony access.  An incredibly active complex, the clubhouse is directly across the road, with a fitness studio, large games room, and a huge meeting and eating space with large kitchen facilities.  Underground parking with car wash, the building even has a guest suite for your visitors. (id:405)            ","https://images.century21.ca/Listings/MLS/114/19146323/6FD7176B9163FBD5C01806D46888DDC4.Jpg?width=650&height=487&scale=both&lang=en-CA","730",NA,"4166021","Other",NA,NA,"1(Full:13/4:01/2:0Other:0)","Active","Underground0cars","1","No",NA,"730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseboardheaters,Hotwaterradiatorheat",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,"C4166021","4",NA,"Canada","PublicTransit,Shopping","PublicTransit,Shopping",NA,"Brick,Stucco","Balcony,Elevator,Flat,NoAnimalHome,Nobacklane,NoSmokingHome,Treed",NA,"Landscaped","Clubhouse","Forsale",NA,"$377","Partiallyairconditioned","Security,SprinklerSystem-Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,7,"1310 SIENNA PARK GR SW","Signal Hill, Calgary, AB T3H3N7","172500","1","1","1310 SIENNA PARK GR SW - 
Well maintained and managed, active 50+ Adult Complex, this top floor unit with private balcony is your next step in downsizing and freedom!  Bright one bedroom has generous walk in closet, large bathroom, convenient in-suite Laundry/Storage, as well as additional storage locker. Functional kitchen with built in breakfast table, overlooks open living/dining area with balcony access.  An incredibly active complex, the clubhouse is directly across the road, with a fitness studio, large games room, and a huge meeting and eating space with large kitchen facilities.  Underground parking with car wash, the building even has a guest suite for your visitors. (id:405)            ","https://images.century21.ca/Listings/MLS/114/19146323/6FD7176B9163FBD5C01806D46888DDC4.Jpg?width=650&height=487&scale=both&lang=en-CA","730",NA,"4166021","Other",NA,NA,"1(Full:13/4:01/2:0Other:0)","Active","Underground0cars","1","No",NA,"730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseboardheaters,Hotwaterradiatorheat",NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,"C4166021","4",NA,"Canada","PublicTransit,Shopping","PublicTransit,Shopping",NA,"Brick,Stucco","Balcony,Elevator,Flat,NoAnimalHome,Nobacklane,NoSmokingHome,Treed",NA,"Landscaped","Clubhouse","Forsale",NA,"$377","Partiallyairconditioned","Security,SprinklerSystem-Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,8,"407 1 AV NE","Crescent Heights, Calgary, AB T2E0B3","2500000",NA,NA,"407 1 AV NE - 
Investor Alert!Location, Location, Location. This 11 suite property in a prime Crescent Heights location. This concrete building comes with strata titles for 6 two bedroom units, 4 one bedroom units and 1 bachelor suite. This well maintained complex is walking distance to downtown and has easy access to major routes. Other item of note: No maintenance exterior, water tanks are 4 years old, torched on membrane roof is 8 years old, coin laundry in basement, 12 parking stalls at rear of building, separate electrical meters paid by tenants. (id:405)            ","https://images.century21.ca/Listings/MLS/114/19145226/9B2E74F37E258D44A892A3B22079EECD.Jpg?width=650&height=487&scale=both&lang=en-CA",NA,NA,"4170784","Other",NA,NA,NA,"Active",NA,"0","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FireplacePresent-False",NA,NA,NA,NA,NA,NA,NA,"C4170784",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,"Forsale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,9,"201 33 AV SW","Calgary, AB T2S 0S7","1275000","3","3","201 33 AV SW - 
Stunning Cityscape views from this mid century 1 and a half story. The perfect property for those seeking a home with a view or the
developer who see's its great potential. The current home features spacious principal rooms including formal living room with vaulted
ceiling, sunken corner brick faced fireplace, dining room with built in cabinets, efficient kitchen with breakfast bar, island and views to
the back gardens. Also on main floor is family room/den which could easily be converted to provide a main floor bedroom to go with the
4 piece bath. Master bedroom offers magnificent views of the downtown skyline from the picture windows. 2 more large bedrooms
including one with private reading loft are situated at the back of the house. Large sloping gardens at the back would allow for walkout
redevelopment or drive under garage with access from 34 Avenue. Homes with views like this are rare so don't miss out.            ","https://images.century21.ca/Listings/MLS/56/C4170484/B5331BC2F623E060E770D567B77F2AF2.Jpg?width=650&height=487&scale=both&lang=en-CA","2473","1948","101304401","1andHalfStorey","101304401","1948","3(Full:33/4:01/2:0Other:0)","Active","Detached2cars","0","No","Parkhill","2,473","Full","FullyFinished","NotaCondo","WoodFrame","1","Stucco,Brick","LaminateFlooring,Hardwood,Carpet","Concrete","North","1","NaturalGas","HotWater,Baseboard","0","Rectangular","TotalFloorAreaAGMetres-229.7491,FrontageMetres-15.2400,BedroomsAboveGrade-3,BathsTotal-3.00","SingleGarageDetached","Detached","Detached","Calgary","ClayTile","ViewDowntown,Hillside,Cul-De-Sac","ZoneCC","C4170484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WoodWithLogLighter,ElectricOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,10,"75 DISCOVERY RIDGE CR SW","Discovery Ridge, Calgary, AB T3H4R4","1085000","5","4","75 DISCOVERY RIDGE CR SW - 
OPEN HOUSE (SATURDAY, MARCH 10 FROM 2:00 - 4:30 PM) - Mountain Retreat in the City! Located in Discovery Ridge this home is far enough away from the hustle and bustle of the city in a park like setting, while still being close enough to amenities. A beautiful custom built 2-storey walkout with old world charm, featuring immaculate site-finished oak millwork, 5 gas fireplaces, and copper finished faux tin ceiling. The floor plan of the house welcomes guests with several areas for entertaining, although most gatherings gravitate to the kitchen. The unique upper level has 3 bedrooms, in addition to the master, all with walk in closets, as well as a  den and library, and an additional 5 piece Jack & Jill bathroom. The master bedroom features a cozy corner fireplace and ensuite with dual sinks, Jacuzzi tub, and dual head rain shower. (Continued in additional remarks) The lower level provides additional space for entertaining with room for a pool table next to the wet bar, and access out to the patio connecting you to the intricate Griffith Woods park pathways. Views are easy to come by from various rooms in the home, with vistas of the distant mountains on a clear day from the master bedroom, and many of the rooms looking out to the yard and green spaces beyond. Additional features of this charming, immaculately maintained home include the two sided river rock fireplace shared between the family room and kitchen, and a lovely back deck accessed from the kitchen, as well as a wet/dry sauna adjacent to bathroom, an additional bedroom, media area, fitness/bonus room, and laundry, all on the lower level. This home has space for everyone and could easily accommodate a large, busy family. With easy access to the mountains, this home truly feels like a cabin getaway in the city. (id:405)            ","https://images.century21.ca/Listings/MLS/114/19145004/593AF0246B207B33C2D0A44037C0F6F2.Jpg?width=650&height=487&scale=both&lang=en-CA","3501",NA,"4168103","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Attached2cars","2","No",NA,"3,501",NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair,Radiantheat",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,"C4168103","17","5","Canada","Park,Playground","Park,Playground","Unknown(Finished)","Pressedfibre,Stone","Built-inwallunit,Lowmaintenanceyard,Nobacklane,Park/reserve,Swirlpoolbath(Jacuzzi)","Fence","Landscaped,Undergroundsprinkler","Deck,Patio(s),Porch","Forsale",NA,NA,NA,"Alarmsystem","Walkout","Mountainview,View",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,11,"1916 37 AV SW","Altadore, Calgary, AB T2T2H4","949900","4","4","1916 37 AV SW - 
Not your typical cookie cutter infill. Character, function & style, this 2665 sf home has it all. Incredible LOCATION in the sought-after community of Altadore. Short walk to restaurants, cafes & all amenities Marda Loop has to offer. Minutes to DT. The beautiful main level has 9' ceiling - flooded with natural light. Open concept & nicely defined spaces - fantastic floor plan with top of the line finishing & superb design elements. BUILT INS throughout.  Kitchen WOW factor - floor to ceiling cabinetry, professional appliances & granite. MUST BE SEEN. Upper level boasts a large master with vaulted ceiling, walk in closet, more built ins & spa like ensuite. Heated floor, dual vanity, steam shower w/ body sprays, rainhead for ultimate comfort & separate jetted soaker tub. UPPER LAUNDRY & 2 additional generous bdrms complete the level. The lower WALK OUT level features in floor heating, a 4th bedroom, WINE Room, full bathroom & the ultimate lounge space with full fridge, wet bar & media room(all prewired). Add. features -  Natural maple hardwood floor, gas fireplace w/ built ins, fully pre-wired in ceiling for whole home speakers. Alarm - no contract, Kitchen - contrasting centre island, garburator, water filter, tons of counter space & cabinetry. Large deck (duradeck) & lower patio. Detached dble garage. (id:405)                     Virtual Tour
    ","https://images.century21.ca/Listings/MLS/114/19145146/1FABBCB745C502B80111C3B9DD5AC643.Jpg?width=650&height=487&scale=both&lang=en-CA","1931",NA,"4170794","Other",NA,NA,"4(Full:33/4:01/2:1Other:0)","Active","Detached2cars","2","No",NA,"1,931",NA,"Finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forcedair,Radiantheat",NA,NA,"FireplacePresent-True",NA,NA,NA,NA,NA,NA,NA,"C4170794","10","1","Canada","Playground,PublicTransit,Schools,Shopping","Playground,PublicTransit,Schools,Shopping","Full(Finished)","Stone,Stucco","Backlane,Balcony,NoSmokingHome,Skylight,Swirlpoolbath(Jacuzzi)","Fence","Landscaped","Deck,Patio(s)","Forsale",NA,NA,NA,"Alarmsystem","Walkout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
