Address,Postal_code,Description,Price,Square_feet,Beds,Baths,Date_Added,Year_built,Neighbourhood,Type_of_home,Area_of_city,Lot_info
"26 Somerside Place SW, Calgary, Alb",T2Y3V3,"This is an excellent opportunity listed far below assessment value. This very well located house in a cul-de-sac with a fully finished walk out basement and private backyard with detached double garage. Price much lower cause the house needs some TLC due to wear and tear by bad tenants. This house will come with a new roof installed in spring already been paid for by the owners.  The front entrance, kitchen and dining areas have ceramic tile, there is a two sided fire place, oak cabinets, and a den on the main level, and deck off the eating area. An added bonus is the fully developed walk out basement (with small kitchen) - perfect for rental income or an illegal in-law suite. The upper kitchen comes with brand new fridge and newer stove. The upper floor has master with 4- piece on suite bathroom and two more bedrooms with another 4 piece bathroom.  Close to the Somerset Water Park, shops, transit and tennis courts this home has it all.",398888,1488,5,3,15-Jan-18,1999,Somerset,Residential,Southwest Calgary,403.00m x 0.00m
"495 78 Ave SW, Calgary, Alb",T2V5K5,"First time on the market: this 2 bedroom + den condo in the desirable Stratfrod on the Park!! Listed by its original owners, this apartment home has been well maintained and shows great. 2 spacious bedrooms with 2 full baths and den, kitchen with ample cupboard space and a living room with gas fireplace complement each other to create a perfect living space at this amazing adult-only building. Backing onto the green space and conveniently located close to LRT, shopping and other inner-city amenities this condo makes a perfect home for a first-time buyer and a great investment. The apartments in this building don't come on the market very often, so book your showing today to take advantage of this great opportunity.",326000,1248,2,2,10-Jan-18,2000,Kingsland,Residential,Southwest Calgary,403.00m x 0.00m
"71 Chisholm Cres NW, Calgary, Alb",T2L0Y9,"This gorgeous 4 bed bungalow has been extensively renovated and is located on a quiet crescent in the highly sought after community of Charleswood. The main floor consists of hardwood floors, a vaulted open beam ceiling, plus brand new doors and windows through-out. The spacious kitchen has been completing upgraded with new cabinets, a large center island and is conveniently located next to the separate dining area. Three bedrooms and a remodelled 4pc bath complete the main level. Downstairs you will find an oversized family room, 4th bedroom, plus a 3pc bath and huge hobby room (that could easily be converted into a second kitchen). Additional bonuses include: New shingles, exterior siding with foil bubble insulation, soffits and tin cladding. Out back you will find an oversized Triple detached garage (36'x22') plus a front drive carport and large driveway for additional parking. Located close to schools, shops, city transit and easy access to main roadways.",679900,1248,4,2,03-Jan-18,1959,Charleswood,Residential,Northwest Calgary,16.50m x 30.40m
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"28 Copperpond Rise SE, Calgary, Calgary, Alb",T2Z5B9,"Welcome to a stunning home: The layout is grand here&could fit your family's needs! South facing, beautiful natural light throughout!At the South entrance, you can BBQ&entertain, as you are facing detached homes, not more townhouses! Inside: a well kept interior with open & large kitchen, beautifully finished. The clients opted for no island, but extra counter space so that they can accommodate LARGE family gatherings!Such a flexible space...change your concept with the seasons! Upstairs 2 kids bedrooms & a bath with soaker tub& shower head. Also space here for a small ""bills desk""...we ALL NEED one! The master is in front of the house and presents to you a well equipped walking closet&private 4-piece ensuite! The basement is FRESHLY done with all City Permits. Metallic funky paint and a LARGE space to use as you wish. The owners have family& game time here or grownup space, a GYM & PLAY area for kids. NATURAL South light is completing this space! Come & enjoy your 2car TRUCK parking.. Ready to move in! PERMITS  were obtained for the basement development. The PARKING can fit 2 LARGE TRUCKS With room to move!",334900,1174,3,2,18-Jan-18,2014,Copperfield,Residential,Southeast Calgary,19.60ft x 0.00ft
"3774 DOUGLAS RIDGE LINK SE, Calgary, Alb",T2Z3H7,"Welcome to the desirable community of Douglasdale! Live in this familyÃ‚Â_oriented 2 storey home close to grocery stores, restaurants, great schools, public transit, Deer Foot Trail, Stoney Trail a short walk to Fish Creek and Bow river pathways. The inviting main floor, with laminate flooring and new lighting features an open plan with a spacious living and dining area. The kitchen has a pantry, breakfast bar and island perfect to accommodate a crowd. The laundry is conveniently located on the main floor. The second floor boasts a master bedroom with walkÃ‚Â_in closet and 4 pc enÃ‚Â_suite; there are also 2 more bedrooms and a 4 pc bath. The full basement is partially finished (roughed in bathroom, bedroom & family room) and the Seller is including the drywall which was purchased to complete the job. The shingles were installed in 2015 (with warranty) and the furnace and water heater were replaced in 2016. New baseboards have been installed, walls washed and the house is sparkling clean. Come and see for yourself! The fenced yard is ready for entertaining on the outdoor patio.",427900,720,3,2,11-Jan-18,1997,Douglasdale,Residential,Southeast Calgary,19.60ft x 0.00ft
"175 Whiteridge Pl NE, Calgary, Alb",T1Y4K2,Great starter home in Whitehorn: close to all amenities and LRT station. This is an amazing opportunity for a first time homebuyer or investor! This 3-bedroom attached home is located on a quiet cul-de-sac. Fresh paint throughout this cozy home that's been lovingly cared for; new carpet on the upper level and a spacious basement is awaiting your development! Newer furnace and hot water tank. The back yard is large and can serve many of your outdoor needs: from play-space for children to summer BBQ block party...,274900,1044,3,1,10-Jan-18,1978,Whitehorn,Residential,Northeast Calgary,19.60ft x 0.00ft
"209 Arbour Cliff Close NW, Calgary, Alb",T3G3W7,"FANTASTIC VILLA situated perfectly in the Lake Community of Arbour Lake. Enjoy stress free living with no Condo fees but all of the Amenities of the Home Owners Association fee for outdoor maintenance. Pride of Ownership shows in this Home with large Open Living space, vaulted ceiling in Living Room, spacious sitting area, and generous Kitchen with room for kitchen Table, gas is plumbed in for future gas stove if desired and even a formal Dining area if you would like! New Triple Pane Windows in 2012, 4pc Bath, for Guest Bedroom with direct access to back deck, Generous Master Bath with loads of closet space & private 4pc Ensuite. Main floor Laundry is sure to please as well! New Carpet leads you down to a Fully Finished Lower level with FRESH PAINT, huge Recreation Room and ANOTHER full 3pc Bathroom, Den, and Workshop for the Hobbyist with Bench and sink. Furnace from 2009 and serviced 2x a year.",369900,1047,2,3,10-Jan-18,1978,ArbourLake,Residential,Northwest Calgary,19.60ft x 0.00ft
"100 SILVERADO SKIES MANOR SW, Calgary, Alb",T2X0K2,"Welcome to your beautiful and spacious new home in a great location in Silverado, a unique house for this area with a fully selfÃ‚Â_ contained basement suite (illegal), including all separate high Ã‚Â_end appliances and convenient inÃ‚Â_ floor heating. Entering the house, you find yourself at the foot of a breathtaking grand staircase. Moving further in, you walk past a niceÃ‚Â_ sized den/office and enter the open concept kitchen, living and dining rooms. The 9' ceilings and large windows allow for plenty of natural light to come into this bright and spacious living area. The kitchen features beautiful granite counters with a sizeable island and eating bar. The highÃ‚Â_ end stainless steel appliances, tall cabinets and walkÃ‚Â_ through pantry make this kitchen a must have. Upstairs, you find a huge bonus room and a sizeable master bedroom with a splendid 5pc ensuite and walk Ã‚Â_in closet. There are 2 other goodÃ‚Â_ sized bedrooms and a 4 pc bath here as well.Your low Ã‚Â_maintenance backyard looks out on a huge green space.",569000,1186,4,3,11-Jan-18,2010,Silverado,Residential,Southwest Calgary,19.60ft x 0.00ft
